link,date,time,score,length 1,damage 1,source 1,length 2,damage 2,source 2,length 3,damage 3,source 3,length 4,damage 4,source 4,length 5,damage 5,source 5,length 6,damage 6,source 6,length 7,damage 7,source 7,length 8,damage 8,source 8,length 9,damage 9,source 9
https://dps.report/qtWx-20231101-202824_sam,01.11.2023,20:28:24,nan,4.587,4581.0,Rosenrot.1293,4.6,4319.0,Icetea.3204,3.489,4419.0,KarlFranzOtto.7863,4.199,4581.0,Rosenrot.1293,5.691,4094.0,Icetea.3204,4.197,4419.0,KarlFranzOtto.7863,4.71,4744.0,Rosenrot.1293,6.392,3086.0,Icetea.3204,nan,nan,nan
https://dps.report/IMGq-20231101-202934_sam,01.11.2023,20:29:34,nan,8.8,3121.0,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/xBUi-20231101-203139_sam,01.11.2023,20:31:39,nan,4.783,4744.0,Rosenrot.1293,4.106,4644.0,Icetea.3204,7.239,2741.5,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/vj3J-20231101-203851_sam,01.11.2023,20:38:51,nan,3.809,4581.0,Rosenrot.1293,4.615,4129.0,Icetea.3204,3.71,4219.0,KarlFranzOtto.7863,4.909,4254.0,Rosenrot.1293,3.604,4519.0,KarlFranzOtto.7863,4.521,4644.0,Icetea.3204,4.284,4744.0,Rosenrot.1293,6.104,3605.0,Icetea.3204,nan,nan,nan
https://dps.report/lkHT-20231101-204015_sam,01.11.2023,20:40:15,nan,3.996,3964.0,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/RRlw-20231101-204407_sam,01.11.2023,20:44:07,nan,3.899,4419.0,Rosenrot.1293,4.182,4681.0,Icetea.3204,3.603,4419.0,KarlFranzOtto.7863,7.095,4644.0,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/RfIA-20231101-204609_sam,01.11.2023,20:46:09,nan,4.503,4644.0,Rosenrot.1293,3.79,4544.0,Icetea.3204,9.113,2614.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/R03B-20231101-204713_sam,01.11.2023,20:47:13,nan,8.603,3086.0,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/dTMo-20231101-205148_sam,01.11.2023,20:51:48,nan,4.097,4419.0,Rosenrot.1293,3.904,4319.0,Icetea.3204,3.588,4419.0,KarlFranzOtto.7863,4.306,4319.0,Rosenrot.1293,4.214,4155.0,Icetea.3204,2.894,2002.5,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/RgyG-20231101-205229_sam,01.11.2023,20:52:29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
